ENT,DTTO FED,DTTO LOC,CVE,NOMBRE DE MUNICIPIO,SECCIÓN,CVE,TIPO DE SECCIÓN
7,9,1,102,Tuxtla Gutiérrez ,2022,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2023,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2024,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2025,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2026,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2027,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2028,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2029,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2030,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2031,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2032,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2033,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2034,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2035,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2036,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2037,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2038,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2039,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2040,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2041,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2042,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2043,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2044,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2045,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2046,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2131,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2132,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2148,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2149,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2150,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2159,2,Urbana
7,9,1,102,Tuxtla Gutiérrez ,2160,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1613,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1614,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1615,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1617,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1632,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1633,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1634,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1635,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1636,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1637,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1638,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1639,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1640,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1641,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1642,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1643,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1644,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1645,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1646,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1647,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1672,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,1674,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1703,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,1739,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2161,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2162,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2163,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2164,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2165,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2166,2,Urbana
7,9,2,102,Tuxtla Gutiérrez ,2167,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,2168,2,Urbana
7,6,2,102,Tuxtla Gutiérrez ,2169,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1648,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1649,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1650,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1651,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1652,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1654,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1664,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1665,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1666,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1667,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1668,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1669,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1670,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1671,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1673,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1675,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1676,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1677,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1678,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1679,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1680,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1681,2,Urbana
