id,dtto_fed,dtto_loc,clave,municipio,created_at,updated_at,deleted_at
91,04,11,091,Tapalapa,NULL,"2023-01-31 10:49:52",NULL
92,04,11,092,Tapilula,NULL,"2023-01-31 10:49:52",NULL
93,04,12,093,Tecpatán,NULL,"2023-01-31 10:49:52",NULL
94,05,22,094,Tenejapa,NULL,"2023-01-31 10:49:52",NULL
95,11,21,095,Teopisca,NULL,"2023-01-31 10:49:52",NULL
96,01,04,096,Tila,NULL,"2023-01-31 10:49:53",NULL
97,07,15,097,Tonalá,NULL,"2023-01-31 10:49:53",NULL
98,06,03,098,Totolapa,NULL,"2023-01-31 10:49:53",NULL
99,08,10,099,"La Trinitaria",NULL,"2023-01-31 10:49:53",NULL
100,01,04,100,Tumbalá,NULL,"2023-01-31 10:48:19",NULL
101,12,18,101,"Tuxtla Chico",NULL,"2023-01-31 10:46:40",NULL
102,09,01,102,"Tuxtla Gutiérrez ",NULL,"2023-01-31 10:48:19",NULL
103,13,16,103,Tuzantán,NULL,"2023-01-31 10:46:40",NULL
104,08,06,104,Tzimol,NULL,"2023-01-31 10:48:20",NULL
105,12,18,105,"Unión Juárez",NULL,"2023-01-31 10:46:40",NULL
106,08,21,106,"Venustiano Carranza",NULL,"2023-01-31 10:47:21",NULL
107,07,16,107,Villacomaltitlán,NULL,"2023-01-31 10:47:21",NULL
108,10,23,108,"Villa Corzo",NULL,"2023-01-31 10:46:41",NULL
109,10,23,109,Villaflores,NULL,"2023-01-31 10:46:41",NULL
110,01,04,110,Yajalón,NULL,"2023-01-31 10:48:20",NULL
111,05,22,111,Zinacantán,NULL,"2023-01-31 10:47:22",NULL
112,02,08,112,Aldama,NULL,"2023-01-31 10:48:20",NULL
113,03,07,113,"Benemérito de las Américas",NULL,"2023-01-31 10:48:20",NULL
114,11,20,114,"Maravilla Tenejapa",NULL,"2023-01-31 10:46:41",NULL
115,03,07,115,"Marques de Comillas",NULL,"2023-01-31 10:48:20",NULL
116,10,17,116,"Montecristo de Guerrero",NULL,"2023-01-31 10:46:41",NULL
117,02,11,117,"San Andrés Duraznal",NULL,"2023-01-31 10:47:22",NULL
118,02,08,118,"Santiago el Pinar",NULL,"2023-01-31 10:48:20",NULL
119,13,17,119,"Capitán Luis Ángel Vidal",NULL,"2023-01-31 10:46:42",NULL
120,02,11,120,"Rincón Chamula San Pedro",NULL,"2023-01-31 10:47:23",NULL
121,10,23,121,"El Parral",NULL,"2023-01-31 10:46:42",NULL
122,06,03,122,"Emiliano Zapata",NULL,"2023-01-31 10:48:21",NULL
123,04,12,123,Mezcalapa,NULL,"2023-01-31 10:47:23",NULL
124,13,17,124,"Honduras de la Sierra",NULL,"2023-01-31 10:46:42",NULL
